STATE,PLACE,POPESTIMATE2023
01,66408,380
01,67056,10722
01,67176,349
01,67536,704
01,67800,1860
01,67920,600
01,68016,264
01,68160,16435
01,68280,1787
01,68352,6849
01,68736,15863
01,69000,773
01,69120,16666
01,69240,5846
01,69648,9307
01,69840,328
01,70128,371
01,70416,365
01,70536,1923
01,70704,352
01,70896,851
01,71040,2133
01,71190,5477
01,71280,1042
01,71496,817
01,71832,9597
01,71900,609
01,71976,10923
01,72600,5233
01,72888,1000
01,73080,1973
01,73728,1832
01,73848,2528
01,73872,1576
01,74160,799
01,74304,219
01,74352,12216
01,74400,1809
01,74424,1604
01,74592,14768
01,74616,143
01,74688,4753
01,74976,5833
01,75096,2309
01,75936,318
01,75960,3583
01,76080,2148
01,76584,1063
01,76632,137
01,76680,592
01,76824,4456
01,76872,2567
01,76920,17836
01,76944,26770
01,77256,111338
01,77280,9169
01,77304,8765
01,77352,359
01,77616,167
01,77784,71
01,77880,3154
01,77904,1963
01,78204,10308
01,78232,3982
01,78240,590
01,78264,2263
01,78480,1849
01,78552,38020
01,78984,322
01,79008,2024
01,79272,218
01,79344,844
01,79488,256
01,79728,778
01,79944,3187
01,80064,183
01,80256,150
01,80352,3330
01,80376,1312
01,80496,747
01,80928,1189
01,81336,466
01,81504,1911
01,81528,640
01,81720,7218
01,81912,756
01,82848,1926
01,82872,593
01,82992,4869
01,83400,227
01,83640,1579
01,83664,751
01,83976,216
01,84096,2307
02,00065,154
02,00650,64
02,00870,448
02,01090,1586
02,01200,723
02,01420,199
02,01860,171
02,01970,254
02,02080,403
02,03000,286075
02,03220,173
02,03440,335
02,03550,494
02,03880,71
02,04210,54
02,04500,255
02,06520,6292
02,06630,24
02,08740,415
02,09600,511
02,12680,490
02,13230,908
02,13550,86
02,14330,99
02,15430,63
02,16360,125
02,16530,52
02,17410,2473
02,17740,1041
02,18510,170
02,18620,955
02,18950,2126
02,19060,80
02,20380,85
02,20970,25
02,21040,389
02,21150,34
02,21810,103
02,22250,360
02,22910,787
02,24230,31856
02,24660,401
02,26760,411
02,27530,457
02,27640,620
02,29180,166
02,29290,252
02,30060,200
02,30940,612
02,33030,170
02,33140,6040
02,33360,948
02,33470,1308
02,33800,2146
02,33910,82
02,34350,293
02,34460,375
02,36400,31555
02,36540,591
02,36770,537
02,36990,272
02,37430,157
02,37650,30
02,38420,7746
02,38970,8079
02,39300,422
02,39410,771
02,39960,416
02,40400,710
02,40840,174
02,40950,5354
02,41720,628
02,41830,2979
02,41940,297
02,42050,94
02,42160,19
02,42380,782
02,43040,33
02,45460,269
02,46010,287
02,46890,464
02,47000,471
02,47990,200
02,51180,594
02,52390,344
02,52720,494
02,53050,343
02,53270,150
02,53710,491
02,53930,293
02,54150,85
02,54920,3639
02,55030,118
02,55140,645
02,55910,2427
02,56320,490
02,56350,226
02,56600,209
02,56680,580
02,57340,207
02,58550,102
02,58660,6378
02,59650,92
02,60640,61
02,60750,592
02,61080,54
02,61630,781
02,62510,73
02,63390,91
02,63610,165
02,64600,750
02,65590,134
02,65700,404
02,65800,61
02,66140,577
02,66360,440
02,66470,399
02,67020,600
02,67460,804
02,67570,382
02,67680,578
02,68230,760
02,68340,248
02,68560,2735
02,68670,96
02,68890,207
02,69770,555
02,70100,254
02,70540,8282
02,71640,4577
02,72960,612
02,75160,235
02,75930,238
02,76260,111
02,77140,470
02,77690,778
02,78240,638
02,80660,741
02,80770,4214
02,81320,209
02,81920,4694
02,82200,3805
02,82750,591
02,82860,162
02,83080,9945
02,84000,86
02,84070,177
02,84510,263
02,86380,2064
04,02830,41153
04,04720,93545
04,05770,5337
04,06260,4994
04,07940,108909
04,08220,43302
04,09690,12489
04,10180,3642
04,10530,63743
04,11300,5152
04,12000,280167
04,12840,13815
04,13890,4904
04,14380,3780
04,14870,2734
04,15500,18293
04,16410,13124
04,19145,4540
04,20050,15638
04,20750,670
04,20960,4437
04,22220,35850
04,22360,18528
04,23620,76586
04,23760,24291
04,25300,23611
04,25720,1302
04,27050,1854
04,27400,275411
04,27820,253855
04,28030,7179
04,28380,111805
04,30270,5217
04,32020,516
04,33280,4833
04,34120,1600
04,36290,460
04,37200,1817
04,37620,35334
04,39370,59257
04,41330,6884
04,43990,1133
04,44270,58430
04,44410,71022
04,46000,511648
04,46350,1532
04,49640,19702
04,51600,48311
04,51810,7320
04,52930,12502
04,53070,3400
04,53490,789
04,53700,16731
04,54050,198750
04,55000,1650070
04,55560,3036
04,55980,4191
04,57380,47757
04,57450,50045
04,58010,2389
04,58150,76570
04,62000,10270
04,62140,36356
04,62350,3362
04,63470,37966
04,65000,244394
04,65350,9819
04,66470,12192
04,66820,44431
04,67800,6670
04,68080,14594
04,68850,4521
04,68990,1727
04,69480,2545
04,71300,2571
04,71510,158285
04,72420,4272
04,73000,189834
04,73420,5486
04,74190,7173
04,74400,1312
04,77000,547239
04,77490,583
04,81480,2572
04,82740,8123
04,83090,3202
04,83160,3463
04,83790,294
04,83930,8517
04,85400,6919
04,85540,100858
05,00250,147
05,00580,3740
05,00700,140
05,00940,90
05,00970,5997
05,01030,249
05,01060,385
05,01150,657
05,01210,675
05,01270,65
05,01360,676
05,01457,130
05,01540,114
05,01870,10255
05,01990,349
05,02380,4162
05,02470,1175
05,02590,2884
05,02680,99
05,02740,1892
05,02860,4027
05,03040,482
05,03280,2513
05,03430,81
05,03640,5215
05,03940,117
05,04030,11515
05,04090,644
05,04180,1821
05,04420,739
05,04540,67
05,04600,8871
05,04720,83
05,04840,32368
05,04900,426
05,04960,308
05,05260,136
05,05290,37558
05,05320,59471
05,05440,440
05,05560,5754
05,05920,358
05,05980,89
05,06040,308
05,06340,29
05,06610,226
05,06700,608
05,06730,94
05,07030,277
05,07150,44
05,07210,90
05,07270,113
05,07330,12594
05,07450,118
05,07540,608
05,07630,2780
05,07720,3820
05,08260,679
05,08290,394
05,08440,305
05,08665,247
05,08950,2574
05,09100,4556
05,09460,21877
05,09550,156
05,09790,1934
05,09880,134
05,10300,27190
05,10360,590
05,10450,429
05,10480,75
05,10570,1945
05,10600,410
05,10720,10165
05,10780,754
05,10900,227
05,11410,1097
05,11500,2014
05,11830,210
05,11890,127
05,11920,277
05,12190,156
05,12280,1994
05,12340,6081
05,12520,1438
05,12820,23953
05,13120,466
05,13300,2690
05,13450,4936
05,13540,567
05,13570,149
05,13750,242
05,13990,1462
05,14050,328
05,14140,9600
05,14260,2524
05,14500,811
05,14950,284
05,15100,193
05,15190,69580
05,15310,45
05,15460,3118
05,15490,944
05,15550,499
05,15700,326
05,15790,85
05,15940,450
05,16240,4578
05,16930,446
05,17140,85
05,17290,391
05,17320,1997
05,17380,4504
05,17410,64
05,17740,1727
05,18010,67
05,18100,286
05,18160,184
05,18370,205
05,18490,6019
05,18520,2497
05,18550,1845
05,18640,502
05,18790,2893
05,18850,822
05,18940,1220
05,18970,894
05,19450,276
05,19600,1351
05,19990,3662
05,20200,781
05,20230,322
05,20320,1768
05,20440,766
05,20830,239
05,20920,109
05,20950,456
05,21070,16869
05,21190,3889
05,21430,2847
05,21580,286
05,21610,401
05,21730,2441
05,21820,322
05,22120,241
05,22180,1601
05,22240,2190
05,22360,430
05,22450,104
05,22660,2165
05,23140,57
05,23170,9761
05,23290,101680
05,23320,85
05,23680,160
05,23800,173
05,24010,1331
05,24220,3225
05,24250,950
05,24430,12490
05,24550,89770
05,24640,813
05,24670,106
05,24700,474
05,24760,57
05,25030,198
05,25060,297
05,25180,159
05,25360,111
05,25750,610
05,25780,196
05,25900,214
05,26050,2223
05,26110,444
05,26290,4449
05,26440,84
05,26800,25
05,26980,599
05,27010,158
05,27040,173
05,27310,2070
05,27670,2299
05,27700,2733
05,27730,632
05,27790,293
05,27970,499
05,28360,3750
05,28510,6170
05,28600,3160
05,28660,1220
05,28720,171
05,28780,9671
05,28810,842
05,28990,156
05,29020,304
05,29080,72
05,29140,91
05,29200,1836
05,29230,744
05,29290,845
05,29500,2413
05,29650,1145
05,29920,764
05,30310,204
05,30400,2209
05,30460,13409
05,30490,497
05,30520,516
05,30640,4138
05,30700,343
05,30790,237
05,30880,113
05,30940,1423
05,31090,7239
05,31150,419
05,31190,8670
05,31540,506
05,31900,229
05,32080,118
05,32140,851
05,32200,2417
05,32257,1041
05,32470,94
05,32650,2415
05,32710,595
05,32800,443
05,33190,8558
05,33310,897
05,33370,2543
05,33375,255
05,33400,37994
05,33490,148
05,33580,2609
05,33760,992
05,33820,213
05,33850,445
05,33910,103
05,33940,489
05,33970,3378
05,34090,431
05,34150,641
05,34720,148
05,34750,29094
05,34900,521
05,35040,117
05,35140,99
05,35500,3672
05,35650,473
05,35710,80650
05,36040,1881
05,36130,480
05,36310,719
05,36430,1404
05,36550,203
05,36670,1034
05,36880,336
05,37240,144
05,37300,662
05,37660,417
05,37720,46
05,37780,2628
05,38050,786
05,38110,296
05,38170,1912
05,38290,1755
05,38890,2514
05,39010,1924
05,39040,284
05,39310,465
05,39370,1660
05,39460,374
05,39520,237
05,39640,876
05,39670,187
05,39970,2355
05,40120,3037
05,41000,203842
05,41090,594
05,41270,1036
05,41420,4277
05,41450,107
05,41630,146
05,41720,11466
05,42170,882
05,42260,254
05,42410,56
05,42500,1499
05,42560,130
05,42770,3555
05,43070,29
05,43100,373
05,43220,611
05,43280,717
05,43310,744
05,43370,225
05,43460,10769
05,43610,11080
05,43670,942
05,43820,3714
05,43880,1052
05,44120,3314
05,44150,100
05,44180,13654
05,44210,2202
05,44240,1238
05,44300,1315
05,44420,755
05,44600,19452
05,44750,2326
05,44780,376
05,45080,1883
05,45170,5618
05,45200,295
05,45500,225
05,45560,371
05,46040,1060
05,46100,89
05,46190,272
05,46400,1603
05,46580,8175
05,46670,232
05,46730,120
05,46910,168
05,46970,7083
05,47030,78
05,47300,529
05,47390,13278
05,47450,573
05,47540,2931
05,47690,1005
05,47900,368
05,48020,146
05,48200,1616
05,48290,1498
05,48560,4043
05,49010,1178
05,49580,8089
05,49820,64
05,50000,474
05,50030,309
05,50060,727
05,50450,64531
05,50810,387
05,51060,1149
05,51080,66
05,51290,185
05,51350,126
05,51410,223
05,51500,196
05,51530,98
05,51560,920
05,52160,128
05,52430,747
05,52580,6610
05,52880,601
05,52940,49
05,52970,3590
05,53150,480
05,53240,498
05,53390,30520
05,53480,3302
05,53510,170
05,53600,784
05,53900,55
05,53990,294
05,54140,104
05,54200,8680
05,54620,258
05,54650,266
05,54680,225
05,54710,1401
05,55130,3538
05,55280,101
05,55310,39123
05,55580,158
05,55970,460
05,56270,350
05,56480,740
05,56540,7601
05,56600,189
05,56720,420
05,56750,311
05,56990,3285
05,57050,101
05,57080,265
05,57170,8186
05,57230,295
05,57260,3011
05,57890,191
05,57950,700
05,58160,166
05,58250,423
05,58280,120
05,58490,1824
05,58580,1490
05,58880,118
05,59180,395
05,59480,939
05,60020,680
05,60380,67
05,60410,74035
05,60590,152
05,60770,497
05,61040,269
05,61460,130
05,61640,183
05,61670,29338
05,61940,194
05,61970,209
05,62030,129
05,62060,124
05,62150,1609
05,62240,512
05,62960,249
05,63020,23813
05,63110,159
05,63470,4685
05,63710,5202
05,63740,52
05,63800,33118
05,63980,249
05,64280,197
05,64370,19336
05,64730,1581
05,64910,85
05,65480,86
05,65630,4271
05,65900,339
05,66080,88224
05,66200,90
05,66320,1219
05,66440,2092
05,66860,746
05,67250,263
05,67370,400
05,67490,7788
05,67520,408
05,67550,95
05,67730,615
05,67760,468
05,67940,535
05,68060,169
05,68360,720
05,68660,562
05,68810,29223
05,69050,329
05,69230,161
05,69350,51
05,69500,187
05,69740,7364
05,69830,511
05,70010,7400
05,70100,1683
05,70220,490
05,70340,71
05,70430,500
05,70540,317
05,70700,684
05,70760,178
05,71390,190
05,71480,24138
05,71510,113
05,71900,18
05,71960,4568
05,72140,371
05,72230,174
05,72320,53
05,72350,1119
05,72380,3361
05,72890,5532
05,73130,6840
05,73310,5211
05,73370,90
05,73550,169
05,73940,621
05,74000,58
05,74330,349
05,74360,2353
05,74540,23825
05,74660,171
05,74840,267
05,74930,44
05,75170,5437
05,75500,653
05,75560,203
05,75570,47
05,75740,83
05,75770,146
05,75860,383
05,75890,395
05,75920,719
05,75980,287
05,76010,135
05,76190,363
05,76250,113
05,76820,1058
05,76970,1602
05,77090,8011
05,77330,1164
05,77600,99
06,00296,38187
06,00394,19474
06,00562,75353
06,00674,19097
06,00884,79776
06,00947,50263
06,01444,2657
06,01514,204
06,01640,21347
06,02000,340512
06,02042,11210
06,02112,3752
06,02252,117096
06,02364,75036
06,02462,54157
06,02476,19012
06,02868,18243
06,02896,15597
06,02924,19364
06,03064,29700
06,03092,6823
06,03162,32052
06,03204,13658
06,03274,3261
06,03302,14075
06,03386,48272
06,03526,413381
06,03666,68806
06,03820,31680
06,04030,24964
06,04758,58463
06,04870,31864
06,04982,75122
06,04996,37467
06,05108,26622
06,05164,2050
06,05290,26429
06,06000,118962
06,06308,30974
06,06434,5007
06,06560,1921
06,06798,3742
06,07162,1172
06,07218,18045
06,07946,892
06,08058,27849
06,08100,48479
06,08142,65126
06,08310,4577
06,08758,4990
06,08786,81958
06,08954,102755
06,09066,29910
06,09598,22227
06,09710,38224
06,09780,13802
06,09864,11165
06,09878,6188
06,09892,5058
06,10046,69514
06,10345,41700
06,10928,11096
06,11040,9572
06,11194,113495
06,11250,3104
06,11446,12828
06,11530,91139
06,12048,52356
06,12524,48397
06,12552,46797
06,13014,101301
06,13210,93114
